input,seed,gesture,sha_before,sha_after,identical
"Dance Gavin Dance - The Robot With Human Hair Part 2 (ver 2 by Thomasoman).gp5",1,on,414deaf1fe664e36,414deaf1fe664e36,yes
"Dance Gavin Dance - The Robot With Human Hair Part 2 (ver 2 by Thomasoman).gp5",1,off,4fa4c4b68b58d7c8,4fa4c4b68b58d7c8,yes
"Dance Gavin Dance - The Robot With Human Hair Part 2 (ver 2 by Thomasoman).gp5",2,on,f97b9464c4b5dbc8,f97b9464c4b5dbc8,yes
"Dance Gavin Dance - The Robot With Human Hair Part 2 (ver 2 by Thomasoman).gp5",2,off,44666295447cde1d,44666295447cde1d,yes
"Dance Gavin Dance - The Robot With Human Hair Part 2 (ver 2 by Thomasoman).gp5",3,on,9fe7334833e4ec03,9fe7334833e4ec03,yes
"Dance Gavin Dance - The Robot With Human Hair Part 2 (ver 2 by Thomasoman).gp5",3,off,9205072a5618161d,9205072a5618161d,yes
"Dance Gavin Dance - The Robot With Human Hair Part 2 (ver 2 by Thomasoman).gp5",4,on,68fd9ea66cdb47ba,68fd9ea66cdb47ba,yes
"Dance Gavin Dance - The Robot With Human Hair Part 2 (ver 2 by Thomasoman).gp5",4,off,61674d384dd9581e,61674d384dd9581e,yes
"Dance Gavin Dance - The Robot With Human Hair Part 2 (ver 2 by Thomasoman).gp5",5,on,6a9f88673920c831,6a9f88673920c831,yes
"Dance Gavin Dance - The Robot With Human Hair Part 2 (ver 2 by Thomasoman).gp5",5,off,741404938ca868a5,741404938ca868a5,yes
"Wolf & Bear - Deleto.gp5",1,on,684f2ff641e85278,684f2ff641e85278,yes
"Wolf & Bear - Deleto.gp5",1,off,c649d4f31d4e6741,c649d4f31d4e6741,yes
"Wolf & Bear - Deleto.gp5",2,on,ae7cf8679e25c704,ae7cf8679e25c704,yes
"Wolf & Bear - Deleto.gp5",2,off,d53007cc4c21e451,d53007cc4c21e451,yes
"Wolf & Bear - Deleto.gp5",3,on,0850202888eb95c8,0850202888eb95c8,yes
"Wolf & Bear - Deleto.gp5",3,off,7f3390de0a8ba0b2,7f3390de0a8ba0b2,yes
"Wolf & Bear - Deleto.gp5",4,on,03c3f6f90560265e,03c3f6f90560265e,yes
"Wolf & Bear - Deleto.gp5",4,off,eeb04f622f5dbe7d,eeb04f622f5dbe7d,yes
"Wolf & Bear - Deleto.gp5",5,on,0dc43d17b4eed24d,0dc43d17b4eed24d,yes
"Wolf & Bear - Deleto.gp5",5,off,b356999a81a21532,b356999a81a21532,yes
"Hail The Sun - Eight-Ball Coroners Pocket.gpx",1,on,bf0fadf50115d592,bf0fadf50115d592,yes
"Hail The Sun - Eight-Ball Coroners Pocket.gpx",1,off,5e0872792e7b982f,5e0872792e7b982f,yes
"Hail The Sun - Eight-Ball Coroners Pocket.gpx",2,on,af8a0c6406cc86f3,af8a0c6406cc86f3,yes
"Hail The Sun - Eight-Ball Coroners Pocket.gpx",2,off,3062a60df5f4d4f5,3062a60df5f4d4f5,yes
"Hail The Sun - Eight-Ball Coroners Pocket.gpx",3,on,db8ae10cb8f3bff3,db8ae10cb8f3bff3,yes
"Hail The Sun - Eight-Ball Coroners Pocket.gpx",3,off,c15b06622154f635,c15b06622154f635,yes
"Hail The Sun - Eight-Ball Coroners Pocket.gpx",4,on,9500e147f6c4ee85,9500e147f6c4ee85,yes
"Hail The Sun - Eight-Ball Coroners Pocket.gpx",4,off,f4a008672b58c831,f4a008672b58c831,yes
"Hail The Sun - Eight-Ball Coroners Pocket.gpx",5,on,a243066a2f0e0f4b,a243066a2f0e0f4b,yes
"Hail The Sun - Eight-Ball Coroners Pocket.gpx",5,off,f9ede5bd952016ed,f9ede5bd952016ed,yes
